Original_query,query_id,@n,precision_dense_can&should,recall_dense_can&should,f1_dense_can&should,precision_sparse_can&should,recall_sparse_can&should,f1_sparse_can&should,precision_combined_can&should,recall_combined_can&should,f1_combined_can&should,precision_dense_should_only,recall_dense_should_only,f1_dense_should_only,precision_sparse_should_only,recall_sparse_should_only,f1_sparse_should_only,precision_combined_should_only,recall_combined_should_only,f1_combined_should_only
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",5,1,0.13,0.22,0.6,0.08,0.13,0.6,0.08,0.13,0.8,0.19,0.31,0.4,0.1,0.15,0.4,0.1,0.15
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",5,1,0.13,0.22,0.8,0.1,0.18,0.8,0.1,0.18,1,0.24,0.38,0.8,0.19,0.31,0.8,0.19,0.31
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",5,1,0.13,0.22,0.6,0.08,0.13,0.6,0.08,0.13,1,0.24,0.38,0.6,0.14,0.23,0.6,0.14,0.23
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",5,1,0.13,0.22,0.8,0.1,0.18,0.8,0.1,0.18,0.8,0.19,0.31,0.8,0.19,0.31,0.6,0.14,0.23
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",10,0.9,0.23,0.36,0.7,0.18,0.28,0.7,0.18,0.28,0.8,0.38,0.52,0.4,0.19,0.26,0.6,0.29,0.39
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",10,1,0.25,0.4,0.6,0.15,0.24,0.6,0.15,0.24,0.9,0.43,0.58,0.5,0.24,0.32,0.6,0.29,0.39
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",10,1,0.25,0.4,0.7,0.18,0.28,0.8,0.2,0.32,0.9,0.43,0.58,0.6,0.29,0.39,0.8,0.38,0.52
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",10,0.9,0.23,0.36,0.7,0.18,0.28,0.8,0.2,0.32,0.8,0.38,0.52,0.6,0.29,0.39,0.7,0.33,0.45
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",15,0.87,0.33,0.47,0.8,0.3,0.44,0.8,0.3,0.44,0.73,0.52,0.61,0.53,0.38,0.44,0.6,0.43,0.5
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",15,0.8,0.3,0.44,0.53,0.2,0.29,0.6,0.23,0.33,0.73,0.52,0.61,0.47,0.33,0.39,0.53,0.38,0.44
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",15,0.93,0.35,0.51,0.8,0.3,0.44,0.87,0.33,0.47,0.8,0.57,0.67,0.6,0.43,0.5,0.73,0.52,0.61
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",15,0.8,0.3,0.44,0.8,0.3,0.44,0.8,0.3,0.44,0.73,0.52,0.61,0.6,0.43,0.5,0.67,0.48,0.56
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",20,0.8,0.4,0.53,0.8,0.4,0.53,0.85,0.43,0.57,0.65,0.62,0.63,0.55,0.52,0.54,0.7,0.67,0.68
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",20,0.7,0.35,0.47,0.5,0.25,0.33,0.65,0.33,0.43,0.6,0.57,0.59,0.4,0.38,0.39,0.5,0.48,0.49
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",20,0.75,0.38,0.5,0.85,0.43,0.57,0.9,0.45,0.6,0.65,0.62,0.63,0.6,0.57,0.59,0.7,0.67,0.68
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",20,0.65,0.33,0.43,0.7,0.35,0.47,0.8,0.4,0.53,0.6,0.57,0.59,0.55,0.52,0.54,0.6,0.57,0.59
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",25,0.84,0.53,0.65,0.76,0.48,0.58,0.84,0.53,0.65,0.6,0.71,0.65,0.48,0.57,0.52,0.64,0.76,0.7
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",25,0.72,0.45,0.55,0.6,0.38,0.46,0.68,0.43,0.52,0.56,0.67,0.61,0.36,0.43,0.39,0.52,0.62,0.57
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",25,0.68,0.43,0.52,0.8,0.5,0.62,0.84,0.53,0.65,0.56,0.67,0.61,0.56,0.67,0.61,0.6,0.71,0.65
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",25,0.6,0.38,0.46,0.72,0.45,0.55,0.76,0.48,0.58,0.52,0.62,0.57,0.44,0.52,0.48,0.56,0.67,0.61
How can I monitor and report energy consumption trends over time,"Monitoring and reporting energy consumption trends over time: energy usage analysis, consumption trend tracking, energy data reporting, time-based energy monitoring, energy efficiency assessment.",30,0.7,0.53,0.6,0.73,0.55,0.63,0.87,0.65,0.74,0.5,0.71,0.59,0.47,0.67,0.55,0.63,0.9,0.75
How can I monitor and report energy consumption trends over time,"Monitor and report energy consumption trends: methods and tools for tracking usage patterns over time, energy analytics, data reporting, and performance metrics.",30,0.67,0.5,0.57,0.6,0.45,0.51,0.67,0.5,0.57,0.47,0.67,0.55,0.37,0.52,0.43,0.5,0.71,0.59
How can I monitor and report energy consumption trends over time,"""Methods to monitor and report energy consumption trends over time, including tracking and analysis of energy usage patterns and reporting techniques.""",30,0.67,0.5,0.57,0.7,0.53,0.6,0.73,0.55,0.63,0.47,0.67,0.55,0.47,0.67,0.55,0.53,0.76,0.63
How can I monitor and report energy consumption trends over time,"""Monitoring and reporting energy consumption trends over time, energy usage analysis, tracking energy efficiency, energy consumption reporting methods""",30,0.6,0.45,0.51,0.67,0.5,0.57,0.7,0.53,0.6,0.43,0.62,0.51,0.43,0.62,0.51,0.5,0.71,0.59
How can I reduce cooling costs without breaking compliance?,"""Strategies for reducing cooling costs while ensuring compliance with standards""",5,1,0.07,0.13,0.6,0.04,0.08,1,0.07,0.13,0.6,0.07,0.12,0.2,0.02,0.04,0.4,0.04,0.08
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining compliance standards and regulations,5,1,0.07,0.13,0.6,0.04,0.08,1,0.07,0.13,0.6,0.07,0.12,0.4,0.04,0.08,0.4,0.04,0.08
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in facilities.,5,1,0.07,0.13,0.6,0.04,0.08,1,0.07,0.13,0.6,0.07,0.12,0.4,0.04,0.08,0.8,0.09,0.16
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in energy management.,5,0.8,0.06,0.11,0.4,0.03,0.05,1,0.07,0.13,0.4,0.04,0.08,0.2,0.02,0.04,0.6,0.07,0.12
How can I reduce cooling costs without breaking compliance?,"""Strategies for reducing cooling costs while ensuring compliance with standards""",10,1,0.14,0.25,0.6,0.09,0.15,0.9,0.13,0.23,0.7,0.16,0.25,0.4,0.09,0.15,0.6,0.13,0.22
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining compliance standards and regulations,10,1,0.14,0.25,0.4,0.06,0.1,0.8,0.11,0.2,0.8,0.18,0.29,0.3,0.07,0.11,0.5,0.11,0.18
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in facilities.,10,1,0.14,0.25,0.6,0.09,0.15,1,0.14,0.25,0.8,0.18,0.29,0.5,0.11,0.18,0.7,0.16,0.25
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in energy management.,10,0.8,0.11,0.2,0.5,0.07,0.13,0.9,0.13,0.23,0.6,0.13,0.22,0.4,0.09,0.15,0.6,0.13,0.22
How can I reduce cooling costs without breaking compliance?,"""Strategies for reducing cooling costs while ensuring compliance with standards""",15,0.93,0.2,0.33,0.47,0.1,0.16,0.8,0.17,0.28,0.73,0.24,0.37,0.33,0.11,0.17,0.6,0.2,0.3
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining compliance standards and regulations,15,0.87,0.19,0.31,0.33,0.07,0.12,0.8,0.17,0.28,0.73,0.24,0.37,0.27,0.09,0.13,0.6,0.2,0.3
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in facilities.,15,0.87,0.19,0.31,0.47,0.1,0.16,1,0.21,0.35,0.73,0.24,0.37,0.4,0.13,0.2,0.8,0.27,0.4
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in energy management.,15,0.73,0.16,0.26,0.53,0.11,0.19,0.73,0.16,0.26,0.53,0.18,0.27,0.33,0.11,0.17,0.53,0.18,0.27
How can I reduce cooling costs without breaking compliance?,"""Strategies for reducing cooling costs while ensuring compliance with standards""",20,0.9,0.26,0.4,0.45,0.13,0.2,0.85,0.24,0.38,0.75,0.33,0.46,0.35,0.16,0.22,0.65,0.29,0.4
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining compliance standards and regulations,20,0.9,0.26,0.4,0.35,0.1,0.16,0.7,0.2,0.31,0.8,0.36,0.49,0.3,0.13,0.18,0.55,0.24,0.34
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in facilities.,20,0.85,0.24,0.38,0.45,0.13,0.2,0.9,0.26,0.4,0.75,0.33,0.46,0.4,0.18,0.25,0.75,0.33,0.46
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in energy management.,20,0.75,0.21,0.33,0.55,0.16,0.24,0.65,0.19,0.29,0.6,0.27,0.37,0.4,0.18,0.25,0.5,0.22,0.31
How can I reduce cooling costs without breaking compliance?,"""Strategies for reducing cooling costs while ensuring compliance with standards""",25,0.84,0.3,0.44,0.48,0.17,0.25,0.72,0.26,0.38,0.72,0.4,0.51,0.32,0.18,0.23,0.56,0.31,0.4
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining compliance standards and regulations,25,0.88,0.31,0.46,0.36,0.13,0.19,0.6,0.21,0.32,0.8,0.44,0.57,0.28,0.16,0.2,0.48,0.27,0.34
How can I reduce cooling costs without breaking compliance?,Reducing cooling costs while maintaining regulatory compliance in facilities.,25,0.84,0.3,0.44,0.56,0.2,0.29,0.72,0.26,0.38,0.72,0.4,0.51,0.44,0.24,0.31,0.6,0.33,0.43
