Query,Original Context,Original Metadata,Technical Context,Technical Metadata,,,,,,,,Faithfulness_Original-context,Original-metadata,Only_Technical-context,Only_Technical-metadata,,,,,,Query,Original Context,Original Metadata,Technical Context,Technical Metadata,,,,,Faithfulness_Original-context,Original-metadata,Only_Technical-context,Only_Technical-metadata
How can I reduce cooling costs without breaking compliance?,0.367346939,0.489795918,1,0.791666667,,,,,,,Mean,0.426561071,0.634629195,0.835862879,0.908998337,,,,,,How can I reduce cooling costs without breaking compliance?,0.367346939,0.489795918,1,0.791666667,,,,Mean,0.452391104,0.665797733,0.86230591,0.968549889
How can I reduce cooling costs without breaking compliance?,0.608695652,0.75,1,1,,,,,,,std dev,0.205509818,0.213787438,0.185076445,0.241390519,,,,,,How can I reduce cooling costs without breaking compliance?,0.608695652,0.75,1,1,,,,std dev,0.181698239,0.13069906,0.108464445,0.058996716
How can I reduce cooling costs without breaking compliance?,0.368421053,0.736842105,1,1,,,,,,,variance,0.042234285,0.045705069,0.03425329,0.058269383,,,,,,How can I reduce cooling costs without breaking compliance?,0.368421053,0.736842105,1,1,,,,variance,0.03301425,0.017082244,0.011764536,0.003480612
How can I reduce cooling costs without breaking compliance?,0.204545455,0.704545455,1,1,,,,,,,median,0.367883996,0.653074866,0.853571429,1,,,,,,How can I reduce cooling costs without breaking compliance?,0.204545455,0.704545455,1,1,,,,median,0.368421053,0.659090909,0.857142857,1
What's the best way to forecast my data center's future energy use?,0.543859649,0.806451613,0.875,1,,,,,,,,,,,,,,,,,What's the best way to forecast my data center's future energy use?,0.543859649,0.806451613,0.875,1,,,,,,,,
What's the best way to forecast my data center's future energy use?,0.285714286,0.529411765,0.916666667,1,,,,,,,,,,,,,,,,,What's the best way to forecast my data center's future energy use?,0.285714286,0.529411765,0.916666667,1,,,,,,,,
What's the best way to forecast my data center's future energy use?,0.315789474,0.342105263,0.8,0.9,,,,,,,,,,,,,,,,,What's the best way to forecast my data center's future energy use?,0.315789474,0.342105263,0.8,0.9,,,,,,,,
What's the best way to forecast my data center's future energy use?,0.62295082,0.573770492,1,1,,,,,,,,,,,,,,,,,What's the best way to forecast my data center's future energy use?,0.62295082,0.573770492,1,1,,,,,,,,
What's the best way to forecast my data center's future energy use?,0.416666667,0.633333333,0.647058824,1,,,,,,,,,,,,,,,,,What's the best way to forecast my data center's future energy use?,0.416666667,0.633333333,0.647058824,1,,,,,,,,
How can I improve my data center's uptime without increasing energy costs?,0.283018868,0.622641509,0.8,1,,,,,,,,,,,,,,,,,How can I improve my data center's uptime without increasing energy costs?,0.283018868,0.622641509,0.8,1,,,,,,,,
